;;Name (click to view profile);Date;Likes;Comment;(view source)
83;;rako bran;22.03.19 09:53:04;0;Phill lord and Chris Miller should direct mcu deadpool;view comment
84;;rubber chicken;22.03.19 09:53:04;0;Is this supposed to be funny?... Oh, sorry. Ha. Ha. Ha. I'm dyin'.;view comment
85;;youssif youssif;22.03.19 09:53:04;0;???? ??? ????;view comment
86;;Ben Mikey123;22.04.19 09:53:04;0;Anyone heard Pikachu sound?;view comment
87;;Brian Mayo;22.04.19 09:53:04;0;That's Lee from gotham;view comment
88;;Cyb3r;22.04.19 09:53:04;0;Deadpool sounds like Pikachu!;view comment
89;;Death Ifight;22.04.19 09:53:04;1;DC fans: pfft marvel not that good DC fans: ok its not that bad;view comment
90;;Deepak k;22.04.19 09:53:04;0;Kiss me like you miss me;view comment
91;;Divine Cutz;22.04.19 09:53:04;2;Hi Wade! Hi Yukio! <3;view comment
92;;Donata ?wi?cka;22.04.19 09:53:04;0;it looks like better than Disney Marvel movies.;view comment
93;;D??ng Karr;22.04.19 09:53:04;0;what is the first song pls ??;view comment
94;;Gewoon Teun;22.04.19 09:53:04;0;I like this;view comment
95;;Htoo Zaw Win;22.04.19 09:53:04;0;Wait deadpool is marval right but he is on dc why please replie back;view comment
;95-1;some random nerd here;22.06.19 09:53:04;0;something tells me you don't know what jokes are;view comment
96;;I PINK DEVIL I;22.04.19 09:53:04;32;From the Studio that brought you 27 Dresses 2019?;view comment
97;;Ilze Grina;22.04.19 09:53:04;0;Nailed it.;view comment
98;;JAYMIN baraiya;22.04.19 09:53:04;0;Funny ??;view comment
99;;Kenshin Himura;22.04.19 09:53:04;0;I hate Ryan Reynolds.....;view comment
100;;Miguel S;22.04.19 09:53:04;0;( ?° ?? ?°);view comment
101;;NOMAD;22.04.19 09:53:04;0;Has anyone else noticed that the first second in the  song at the start of the movie is exactly the same as in logan ? :D :D;view comment
102;;O.Ranch Hand;22.04.19 09:53:04;0;I swear i first thought that deadpools girlfriend is lee! Gordon got betrayed. :D;view comment
103;;Panbot Bot;22.04.19 09:53:04;0;blriepnwoi;view comment
104;;Panbot Bot;22.04.19 09:53:04;0;cohjsrlbnk;view comment
105;;Panbot Bot;22.04.19 09:53:04;0;dsmaeorruq;view comment
106;;Panbot Bot;22.04.19 09:53:04;0;dussxbolep;view comment
107;;Panbot Bot;22.04.19 09:53:04;0;fhuzkutiqx;view comment
108;;Panbot Bot;22.04.19 09:53:04;0;finifipsxe;view comment
109;;Panbot Bot;22.04.19 09:53:04;0;gxelckgcgp;view comment
110;;Panbot Bot;22.04.19 09:53:04;0;gztybqiehy;view comment
111;;Panbot Bot;22.04.19 09:53:04;0;hrtevwepit;view comment
112;;Panbot Bot;22.04.19 09:53:04;0;inhfekesxw;view comment
113;;Panbot Bot;22.04.19 09:53:04;0;irekfjimvs;view comment
114;;Panbot Bot;22.04.19 09:53:04;0;javzhhpyok;view comment
115;;Panbot Bot;22.04.19 09:53:04;0;jixozgzaoz;view comment
116;;Panbot Bot;22.04.19 09:53:04;0;jmpbirytrb;view comment
117;;Panbot Bot;22.04.19 09:53:04;0;jxrcytzpfi;view comment
118;;Panbot Bot;22.04.19 09:53:04;0;jzuksctkis;view comment
119;;Panbot Bot;22.04.19 09:53:04;0;kiegtevuqr;view comment
120;;Panbot Bot;22.04.19 09:53:04;0;lloefofrtx;view comment
121;;Panbot Bot;22.04.19 09:53:04;0;mubgtzmcih;view comment
122;;Panbot Bot;22.04.19 09:53:04;0;niyorbxetq;view comment
123;;Panbot Bot;22.04.19 09:53:04;0;nzdamaxifk;view comment
124;;Panbot Bot;22.04.19 09:53:04;0;olftsudxhx;view comment
125;;Panbot Bot;22.04.19 09:53:04;0;rmmpsvafup;view comment
126;;Panbot Bot;22.04.19 09:53:04;0;rxlzwbawok;view comment
127;;Panbot Bot;22.04.19 09:53:04;0;sumsghbdyv;view comment
128;;Panbot Bot;22.04.19 09:53:04;0;toawzfuehg;view comment
129;;Panbot Bot;22.04.19 09:53:04;0;vmpfgsvakg;view comment
130;;Panbot Bot;22.04.19 09:53:04;0;wovhphuyyd;view comment
131;;Panbot Bot;22.04.19 09:53:04;0;xdjgptgmbe;view comment
132;;Panbot Bot;22.04.19 09:53:04;0;ybagustouf;view comment
133;;Panbot Bot;22.04.19 09:53:04;0;yfilvqvhfu;view comment
134;;Panbot Bot;22.04.19 09:53:04;0;zbxgrthukl;view comment
135;;Panbot Bot;22.04.19 09:53:04;0;zvzmkotcno;view comment
136;;Ray Moyes;22.04.19 09:53:04;0;This was one of the best superhero movies I've seen ever, way better than the first Deadpool, and it was full of action and amazingly funny.;view comment
137;;Santiago _CH;22.04.19 09:53:04;0;Ll cool j;view comment
138;;Yan Wong;22.04.19 09:53:04;0;Is gordon ramsay in this movie?;view comment
139;;dwi pahri ramadaninur fahri;22.04.19 09:53:04;1;Ilove deatpool;view comment
140;;dwi pahri ramadaninur fahri;22.04.19 09:53:04;1;Kok deatpool ciuman geli tau;view comment
141;;god hand;22.04.19 09:53:04;0;0:24  what did he said;view comment
142;;gopi krishna;22.04.19 09:53:04;2;Seening the movie name I thought it would be very furious  But after watching trailer it was very funny??;view comment
143;;iGOTGame;22.04.19 09:53:04;0;watch it here in full length @t  https://anotepad.com/notes/ryne49;view comment
144;;journeyquest1;22.04.19 09:53:04;0;Looks like too much of the same crap.;view comment
145;;kayne caltabiano;22.04.19 09:53:04;0;It looks and sounds like the recorded sperate scenes JUST for the trailer;view comment
146;;navendu trivedi marvel gamer;22.04.19 09:53:04;2;Still watching trailer in 2019;view comment
147;;redman gaines;22.04.19 09:53:04;0;Rest In Peace Stan lee;view comment
148;;soufiane ETTAIR;22.04.19 09:53:04;0;deadpool 2;view comment
149;;transformersfan500 okane;22.04.19 09:53:04;0;When is Deadpool 3;view comment
150;;Alien kumar;22.11.84 15:58:51;0;The film is so childish with nonsense...even Green Lantern was far better than this...;view comment
151;;Astro- Phoenix;22.11.84 15:58:51;0;1:40  did anyone notice  the actor for penny wise I background;view comment
152;;Bedazzled Sunshine;22.11.84 15:58:51;0;Good but super boring!!!!!! ??;view comment
153;;DECEMBER TWENTY-6;22.11.84 15:58:51;0;Deadpool 3 ?;view comment
154;;Farid Barcc;22.11.84 15:58:51;0;Wiro sableng;view comment
155;;Henry Biju;22.11.84 15:58:51;1;Hey watch Deadpool 2 post credit scenes in which Logan /Wolverine Appears https://youtu.be/0haLLEXJ2dU;view comment
156;;Its CRAFTMINER;22.11.84 15:58:51;0;0:41;view comment
157;;Johnny Hamilton;22.11.84 15:58:51;1;Loved that Reynolds threw  in a Sisterhood of the Traveling Pants reference; his wife was one of the original wearers of the pants, (Blake Lively).;view comment
158;;Jungcoconut Okidoki;22.11.84 15:58:51;1;People always say that the sequel is never as good as the original... well I guess they haven’t seen this movie;view comment
159;;KING OF NOOBS;22.11.84 15:58:51;3;Domino was my favorite I think she deserves her own movie;view comment
160;;Keely Chow;22.11.84 15:58:51;1;Thanks to Endgame, this and X-Men: Days of Future Past are considered bull crap after what Professor Hulk said about time traveling.;view comment
161;;Lord Reyizz;22.11.84 15:58:51;2;Also tomorow 1years ago movie  ??I’m from Turkey  And,I’m Marvel fan ??;view comment
162;;MagniloquentlyPuncturedKeyboard or MPK;22.11.84 15:58:51;0;Detective Pikachu...?;view comment
163;;Minnie Mouse;22.11.84 15:58:51;0;uhh what is thanos doing here?;view comment
164;;Moh Odeh;22.11.84 15:58:51;0;One of the best films ever made;view comment
165;;Panbot Bot;22.11.84 15:58:51;0;ebanqseklp;view comment
166;;Panbot Bot;22.11.84 15:58:51;0;epgmyofbwk;view comment
167;;Panbot Bot;22.11.84 15:58:51;0;eywpmagheo;view comment
168;;Panbot Bot;22.11.84 15:58:51;0;jiseobfudp;view comment
169;;Panbot Bot;22.11.84 15:58:51;0;lcixmmuuit;view comment
170;;Panbot Bot;22.11.84 15:58:51;0;mbimjjrvvl;view comment
171;;Panbot Bot;22.11.84 15:58:51;0;ntqvaxicvi;view comment
172;;Panbot Bot;22.11.84 15:58:51;0;rnuqwwegta;view comment
173;;Panbot Bot;22.11.84 15:58:51;0;shuarcwktj;view comment
174;;Panbot Bot;22.11.84 15:58:51;0;skilebynta;view comment
175;;Panbot Bot;22.11.84 15:58:51;0;tywaqlrpph;view comment
176;;Panbot Bot;22.11.84 15:58:51;0;ukvofqjois;view comment
177;;Panbot Bot;22.11.84 15:58:51;0;ulgjkavhmb;view comment
178;;Panbot Bot;22.11.84 15:58:51;0;uwgsaaotie;view comment
179;;Panbot Bot;22.11.84 15:58:51;0;uyrfukkaai;view comment
180;;Panbot Bot;22.11.84 15:58:51;0;vgjblioypl;view comment
181;;Panbot Bot;22.11.84 15:58:51;0;vikjbtsifg;view comment
182;;Panbot Bot;22.11.84 15:58:51;0;vorsrtczhj;view comment
183;;Panbot Bot;22.11.84 15:58:51;0;wcojkyonog;view comment
184;;Panbot Bot;22.11.84 15:58:51;0;wqkqeopdob;view comment
185;;Panbot Bot;22.11.84 15:58:51;0;wvekismlyl;view comment
186;;Panbot Bot;22.11.84 15:58:51;0;yrmoniavic;view comment
187;;Panbot Bot;22.11.84 15:58:51;0;zfrpnfwgum;view comment
188;;RICCARDO BETTACCHIOLI;22.11.84 15:58:51;0;SHUT UP THANOS!;view comment
189;;Ruchi tyagi;22.11.84 15:58:51;23;1:59  3rd person from right..... Tony Stark;view comment
;189-1;A43AN YT;22.11.84 15:58:51;0;No loll;view comment
;189-2;Ruchi tyagi;22.11.84 15:58:51;0;@A43AN YT  Yes ,ROFL;view comment
190;;Sameer Soni;22.11.84 15:58:51;11;Who else wants to see a jim carrey and deadpool conversation in DP-3??;view comment
191;;Sukanya V Mohan;22.11.84 15:58:51;0;No offence but the Hindi trailer is so relatable and more funny.;view comment
192;;Tata;22.11.84 15:58:51;0;The fights r hard;view comment
193;;Tushar Sharma;22.11.84 15:58:51;0;? ? ? ?;view comment
194;;Wow Poops;22.11.84 15:58:51;0;There are Lincoln and Obama, not only Olivia and Meredith (Taylor Swift's cats)  1:27;view comment
195;;johnxaviere;22.11.84 15:58:51;0;the kid-some fat jew;view comment
196;;???;22.11.84 15:58:51;1;disney marvel kill fox marvel. fox marvel is over. kevin feige want had said. "get me that x-men and fantastic four now!" "fantastic four and x-men is all of the marvel. namor become member of the avengers half human half atlantis not a mutant. namor join into the marvel cinematic universe." that mcu beat to deadpool and x-men.;view comment
197;;Ace;22.06.19 09:53:04;0;Deadpool 1 was much better than the politicaly Deadpool 2;view comment
198;;Android Gamer;22.06.19 09:53:04;2;I know why he don't have a Hair??? Like Baldi Only have a 1 streen lel.....honestly someone have a shape ship and bullets doesn't do to someone???;view comment
199;;Carmen Conde;22.06.19 09:53:04;0;Tannos is that you??;view comment
200;;Chee Kiat Teo;22.06.19 09:53:04;4;Cable's daughter her name is hope. Future leader of the X force in the comics. With the time machine, you bet they'd be travelling to the future;view comment
;200-1;Can you shut up?;22.06.19 09:53:04;1;Fuckin spoiler;view comment
;200-2;Taco 77;22.07.19 09:53:04;0;Can you shut up? Movies out for over a year pal;view comment
201;;Doggy_Lover 75;22.06.19 09:53:04;0;My little brother when he was 7 his mom let him watch it! I'm 13 and not allowed to watch it!;view comment
202;;Ericson Lopez;22.06.19 09:53:04;0;0:57  ñoño from El Chavo;view comment
203;;Ibrahim Hassan;22.06.19 09:53:04;0;X-force;view comment
204;;Imran Akhter;22.06.19 09:53:04;0;Best movie in x men series.;view comment
205;;Jonsthan shyco;22.06.19 09:53:04;2;Mueller ???????????????????????;view comment
206;;K.K. VinayKumar;22.06.19 09:53:04;0;I liked Deadpool 2 more than Deadpool 1.;view comment
207;;MCV Creationz;22.06.19 09:53:04;2;Who's in 2019????;view comment
208;;Maya Games;22.06.19 09:53:04;0;I love this movie <3;view comment
209;;Maya Games;22.06.19 09:53:04;0;I love this movie <3;view comment
210;;Muhammad Aditya;22.06.19 09:53:04;0;Where wiro;view comment
211;;Naga Raj;22.06.19 09:53:04;2;Deadpool-dont call it come back Godzilla-Hold my beer;view comment
212;;Panbot Bot;22.06.19 09:53:04;0;fhqdmytlad;view comment
213;;Panbot Bot;22.06.19 09:53:04;0;hagtbacjbf;view comment
214;;Panbot Bot;22.06.19 09:53:04;2;hursgchpxq;view comment
215;;Panbot Bot;22.06.19 09:53:04;0;joshzaalgm;view comment
216;;Panbot Bot;22.06.19 09:53:04;0;kffojxuost;view comment
217;;Panbot Bot;22.06.19 09:53:04;2;kjytrzppxe;view comment
218;;Panbot Bot;22.06.19 09:53:04;0;kqdfjundib;view comment
219;;Panbot Bot;22.06.19 09:53:04;2;lybecmabbh;view comment
220;;Panbot Bot;22.06.19 09:53:04;2;ohxiaeweso;view comment
221;;Panbot Bot;22.06.19 09:53:04;0;omudtsfpof;view comment
222;;Panbot Bot;22.06.19 09:53:04;0;orzrkyaiwo;view comment
223;;Panbot Bot;22.06.19 09:53:04;0;rhesnuzfpa;view comment
224;;Panbot Bot;22.06.19 09:53:04;2;rsebmcropa;view comment
225;;Panbot Bot;22.06.19 09:53:04;2;uizddggegr;view comment
226;;Panbot Bot;22.06.19 09:53:04;2;uvwjdofdkb;view comment
227;;Panbot Bot;22.06.19 09:53:04;2;vpjrsshehy;view comment
228;;Panbot Bot;22.06.19 09:53:04;2;xumjphgagg;view comment
229;;Panbot Bot;22.06.19 09:53:04;2;xvfllmlnob;view comment
230;;Panbot Bot;22.06.19 09:53:04;0;ybyabzxjdv;view comment
231;;Panbot Bot;22.06.19 09:53:04;0;yigczitkbi;view comment
232;;Panbot Bot;22.06.19 09:53:04;2;ylcvbcdasc;view comment
233;;Panbot Bot;22.06.19 09:53:04;0;zagpgpfjah;view comment
234;;Panbot Bot;22.06.19 09:53:04;0;zdnalefgse;view comment
235;;Stephen Brooks;22.06.19 09:53:04;0;OMFG... "Domino" has hairy pits at  1:03:58 , WTF? I'm not gonna be any more insensitive and go into what that's all about?  Movie's great, though.;view comment
236;;The geek Goblin;22.06.19 09:53:04;0;Godzilla did it better;view comment
237;;Varatharajah Vaseekaran;22.06.19 09:53:04;1;Who came here after the new Godzilla 2 trailer?;view comment
;237-1;raflifernanda 308;22.06.19 09:53:04;0;Me lol;view comment
238;;WAYAMBA TV;22.06.19 09:53:04;0;best movie;view comment
239;;dhawal c;22.06.19 09:53:04;1;I'm batman;view comment
240;;learning site by sumera khan;22.06.19 09:53:04;0;Most useless movie I have ever seen in my life...it was waste of time;view comment
