Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
49;;Luis Felipe Orozco;28.03.19 12:09:48;0;Seriously, Nick is SO ugly.....!!!!;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzeMF9lwthES6q99Op4AaABAg
50;;Lynda;28.03.19 12:09:48;0;This is a fantastic movie, except for one thing, the music is so loud I couldn't hear what they were saying!!! Why is this always happening in almost every movie I watch it's so annoying;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyIzxbT0dbnmJBoSVt4AaABAg
51;;Marc S.;28.03.19 12:09:48;1;Ugh... This movie has been made 235694872 times already. If I was asian I wouldn't be proud of having commercial garbage products like this made in my name because of DIVERSITY. There are already so many amazing asian movies outside of Hollywood's trash machine.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyufvR9e2DurHNL39R4AaABAg
52;;Mrinalika Sharma;28.03.19 12:09:48;35;Yeah because .. Indians Middle eastern sri lankan bangladeshi people aren’t ASIAN of course;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
;52-1;peaceflowerstudios;28.03.19 12:09:48;11;They are, but this movie just isn't about them :^/;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
;52-2;iamcleverdick;28.03.19 12:09:48;0;@peaceflowerstudios  so true!;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
;52-3;Lælæ;28.03.19 12:09:48;4;You're not the sharpest pencil in the box I shall say;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
;52-4;khushal virk;28.03.19 12:09:48;2;Pakistan left the chat;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
;52-5;khushal virk;28.03.19 12:09:48;1;Laelae ever heard about mukesh ambani.. he is the sharpest pencil in whole of asia;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
;52-6;Ray Yu;28.03.19 12:09:48;0;Asia is big and Chines should be classified as orientals in that case;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwcyJ1Y3oTTBm-M6Uh4AaABAg
53;;Nathasha Fernando;28.03.19 12:09:48;0;"If I'm correct.. this is supposed to be based on the book "" Crazy Rich Asians"". But the Astrid described in the book is soo striking yet sweet. I was sooo looking forward to seeing her ever since I accidentally got to know there was a film. And Lin girl is supposed to be this super fashionable thing that trots around in all the designer labels and walks around like a Queen. Not at all the picture they've portrayed here. And in the book, Rachel doesn't really stand up much to Eleanor. She just try to stay away. And Nick and Rachel fly back to America where they plan to have their wedding which only starts in the second book. And Nick... Nick is to look hot yet this Oxford type guy who's down to earth and uncomfortable about talking about money and stuff.. I dunno.. The story is not at all very accurate but well.. love the lead actress from ""Fresh off the boat"" .. so anything goes..";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyiO8YOR0VGqxAtplZ4AaABAg
54;;Nikki Amouzadeh;28.03.19 12:09:48;1;I'm crazy Asian poor! ?? ?? ??;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyzdaollljdQh6YZuF4AaABAg
;54-1;meizhang zhang;28.03.19 12:09:48;0;haha also me;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyzdaollljdQh6YZuF4AaABAg
55;;Nirvana Borg;28.03.19 12:09:48;0;one of the best movies;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugz0Th5y2yE_SOA1FL54AaABAg
56;;Paul H;28.03.19 12:09:48;1;"Hollywood has the power to shape the social ideology of the people in the world, whatever they see in their movies is how they perceive other race and other people. For this they can promote prejudice, stereotypes or hatre,  or even glorify an ethnic group through how they portray them";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxPBrT6geul4aAG8sR4AaABAg
57;;Projekt 6;28.03.19 12:09:48;0;This is a very uncomfortable movie.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyvQpcQdVL-3zNzSWd4AaABAg
58;;Random User;28.03.19 12:09:48;0;Wow! I'm Crazy Poor Asian. My breakfast is candy, oops sorry i meant half a candy.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxZBoHK33zBoDTenoN4AaABAg
59;;Rebaz Ali;28.03.19 12:09:48;0;Yeah, sure, yet another movie pay for watching stupid ass rich people ending up happily ever after. Yay.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwDDJjFon9N87booel4AaABAg
60;;Shoda Katsura ??????;28.03.19 12:09:48;0;Hopefully this can change how asian men are perceived;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugzu1uPGpZLF26VurhN4AaABAg
61;;Sigma Geranimo;28.03.19 12:09:48;2;"This will be our Future civilization, We will become Aristocrate society in year 1800.  the rich will marry the rich, the poor will marry the poor and will be a lot of divorced then produce damage next gen kids. GBU. The rich will have an Armed Guard in front of the house.";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzorfFIGU5_nsBrcBh4AaABAg
62;;Sope Hope;28.03.19 12:09:48;0;1:45  that hits real hard though;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzdZHDK8TvFSPUmgM54AaABAg
63;;The Most Original Gamer;28.03.19 12:09:48;1;"This movie should be named  Crazy   Rich   Chinese Oh, come on Asia is a continent, not a country   ¯\_(?)_/¯ Increase your geographical knowledge a bit";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugx9sGzkAG652ZKsfIZ4AaABAg
64;;XD???;28.03.19 12:09:48;0;I have a private helicopter and a private yacht, but not a private jet;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxEY5hZwwWQ3d_wF3F4AaABAg
65;;_imyour parksoyoungg;28.03.19 12:09:48;0;Im crazy lazy asian;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugwpt-8z5G5M9Fqh6wd4AaABAg
66;;banana;28.03.19 12:09:48;0;This movie really great .;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzMz8oJyBsTfLMMpVV4AaABAg
67;;brandon2092;28.03.19 12:09:48;0;That's what we call Asian;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzSv5jNscV6uzlNfHt4AaABAg
68;;david sanchez-cortes;28.03.19 12:09:48;0;Damn Asian is the new Jew, where all they care about is $$$;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzDx2HHJpRD8hwGV054AaABAg
